ID,Category,Title,Description,Amenities,Location,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,url,bedrooms
f9dcbd09-32ac-41d9-a0b1-fdb2793378cf,Treehouses,Red Kite Tree Tent - Ynys Affalon,escape to one of these two fabulous tree tents suspended high above the canopy its time to appreciate life from a new perspective featured on george clarkes amazing spaces these tree tents are a feat of aviation technology tree tent comes complete with fire pit outdoor kitchen and shower with hot water youll discover a comfortable bed and cosy wood burning stove part of the red kite estate along with our barn and its sister tree tent the first ever built in the uk dragons egg the space the spacenthe true joy of this place is how wonderfully simple it is aviation technology aside days are filled with fireside discussions wildlife watching and stunningly beautiful walks with the nearest mobile signal a ten minute walk away its a great place to ditch the digital and truly escape head over the bridge to your own private deck that happily houses a clever outdoorkitchen and shower complete with hot water its the perfect spot to fry up breakfast whilst basking in peace and tranquility there is also a flushing toilet situated just up the hilland dont worry youre not totally left to your own devices on arrival you can expect bed linen towels and a load of dry wood and kindling if you feel the need to leave your new found homestead in the trees then the local area has lots of suitably chilled things to do head out on a moorland walk to take in some magical views and perhaps even grab a pint at the local pub en route further afield the stunning elan valley a landscape bursting with impressive dams and reservoirs is well worthy of an explore and for those needing supplies and perhaps a flat white then the friendly market town of builth wells is just down the road other things to notenyou are entering a remote woodland hideaway for a digital detox there is very patchy mobile signal and limited internet connectivity,"['What this place offers', 'Bathroom', 'Shampoo', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer']",Llandrindod Wells United Kingdom,2,1.0,1.0,105,4.6,4.7,4.3,5.0,4.3,4.3,13.0,https://www.airbnb.co.uk/rooms/26620994?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-19&check_out=2022-03-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
1b4736a7-e73e-45bc-a9b5-d3e7fcf652fd,Treehouses,Az Alom Cabin - Treehouse Tree to Nature Cabin,come and spend a romantic stay with a couple or family on the domaine de l arbre in cabanenna very pretty forest of 5 hectares shelters 8 beautiful huts they all have the dream names unique and unprecedentednnthey are housed in centuriesold trees out of sight in osmosis with naturennthe site is preserved your peace is assured nature is everywherenna treehouse to indulge relax and go where no one will be looking for you the space the spacencabin perched in trees 8 meters highnthis cabin is beautiful its access via a board walkway and its platform adjoining 3 individual beds seduce them to the highest degree it has a capacity of 3 people guest access guest accessnyou will have access to the entire cabin forest and parknsanitary facilities showers and toilets are at the reception a 3minute walk other things to note other things to notenare you ready for an unusual stay,"['What this place offers', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Guyonvelle Grand Est France,3,3.0,0.0,92,4.3,4.7,4.6,4.9,4.7,4.5,8.0,https://www.airbnb.co.uk/rooms/27055498?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-19&check_out=2022-06-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
d577bc30-2222-4bef-a35e-a9825642aec4,Treehouses,"Cabane Entre Les Pins
🌲🏕️🌲",rustic cabin between the pines 3 meters high and 28 square meters on the banks of the austreberth river the space the spacenour cabin between the pines is a great alternative for those looking for contact with nature and want to rest enjoy together or have fun with family or friends with 3 meters high and 28 square meters it accommodates 4 people located on a 12 hectare property by the river austreberthe our rustic treehouse shares the space with our garden rabbits and dumplings as well as wild dumplings and our beloved khenty mare who loves apples and carrots a tranquil retreat with efficient thermal insulation and heaters for the colder days equipped with a double bed sofa bed kitchen duvet and toiletnnnwe providentowelsnbed linens and pillowsnkitchen detergent and bathroom soapnpaper towels toilet paperncooking utensilsncoffee tea salt and pepper herbs of provencenwhat to do in the areas guidennill follow us on instagram entreespins guest access guest accessnguests can use the space around the cabin other things to note other things to notenwhen its windy the cabin squeaks but theres nothing to worry aboutnndo not use candles or objects containing a fire inside and outside the cabin as the polyester is flammablennsmoking outside only pleasennour dear pets are allowed but with the commitment of their guardian not to leave them on the bed and furnishing fabrics as well as being responsible for their wastennpine needles often fall on the balcony which doesnt mean the space hasnt been cleanednnas this is literally a house between the trees it is common that there are insects and cobwebs outside but with the door closed it will prevent them from entering the cabinnnwith the arrival of the cold season we see that the internal temperature is between 15 and 18 degreesnncheckout time must be respected so as not to change the arrival time of the next guest,"['What this place offers', 'Scenic views', 'Garden view', 'River view', 'Bathroom', 'Cleaning products', 'Cien body soap', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Cotton linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe and chest of drawers', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Children’s tableware', 'Table corner guards', 'Heating and cooling', 'Portable heater', 'Radiant heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Dishwasher', 'Stainless steel cooker', 'Kettle', 'Coffee maker: filter coffee maker', 'Wine glasses', 'Baking sheet', 'Rice cooker', 'Waste compactor', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Coffee', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Free resort access', 'Guests can use nearby resort facilities', 'Outdoor', 'Private patio or balcony', 'Private backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill: electric', 'Kayak', 'Parking and facilities', 'Free parking on premises', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Smoking allowed', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Host has indicated that no carbon monoxide detector is necessary. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Duclair Normandie France,4,2.0,1.5,52,4.2,4.6,4.8,4.8,4.8,4.7,51.0,https://www.airbnb.co.uk/rooms/51427108?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-03&check_out=2022-10-10&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
ca9cbfd4-7798-4e8d-8c17-d5a64fba0abc,Treehouses,Tree Top Cabin with log burner & private hot tub,the tree top cabin is situated in our peaceful woodland in the heart of snowdonia it has a shower hot water includedand wc and washbasin no hot water in the washbasinnlighting is provided from a 12v solar panel systemna log burner is provided with free woodnthere is a double bednthe private wood fired hot tub is situated on a balcony overlooking the woodland areanpet friendlynoutside seating is provided the space the spacenthis unique glamping experience has everything you need for a restful and idyllic break from everyday life wake up to bird song and the sound of the stream enjoy your own exclusive hot tub whilst sipping a glass of bubbly our cabin is fully insulated and has everything you need for that perfect rustic getaway without compromising on quality and conveniencennall bedding and towels are included in your stay you may like to bring extra towels for hot tub usagenna small log burner inside to keep you nice and cosynnthere is limited telephone signal,"['What this place offers', 'Bathroom', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Hot tub', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Barmouth Wales United Kingdom,2,1.0,1.0,132,4.8,4.9,4.9,4.9,5.0,4.6,23.0,https://www.airbnb.co.uk/rooms/49543851?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-20&check_out=2022-05-27&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
cfe479b9-c8f8-44af-9bc6-46ede9f14bb5,Treehouses,Treehouse near Paris Disney,charming cabin nestled in the leaves real unusual and cozy house in the trees with all the modern comforts just 45 minutes from paris 28 km from disneyland or provins and 5 minutes from the parc des flins this cozy nest awaits you yearround for an unusual romantic or family experience a parenthesis of relaxation and relaxation ideal to offer yourself or yourself see you soon the space the spacenla cabane perche de chambonnire awaits you over the seasons and offers a comfortable and cozy setting amidst the trees the opportunity to escape from everyday life during a romantic stay with two or family for one or more nightsnnyou will be seduced by this treehouse full of charm with neat decorationn access by gentle slope ideal for welcoming you easilyn charming living room with bioethanol fireplace only in cold weather and exclusively for couples or families with children over 7 years oldn fully equipped kitchenn double bedroom 1 bedroom with 2 single beds upstairsn shower room with shower and real toiletn magnificent private terrace of 36m with garden furniture and deckchairnnnthis cozy nest in the trees offers all the modern comforts electricity heating bathroom with toilet and standard shower flat screen tv and a kitchenette with multifunction oven refrigerator hob wifi internet access for your arrival all beds are madennthe shack perched in chambonnire is ideally located to allow you to discover the charms of the seine and marne and the champagne regionn the parc des flinsn the medieval city of provins with magnificent equestrian and falconry shows in seasonn disneyland paris la valle village 25mnn the castles of vaux le vicomte blandy les tours and fontainebleaun and for the most sporty depending on the seasonn tree climbingn paintballn karting and other motor sportsn youll also have a chance to go for nice walks around on foot or by mountain bike and tennis in the villagenna parenthesis of relaxation and relaxation ideal to offer yourself or yourself nnlooking forward to welcoming younnnthe rates shown in the calendar are for 2 people rates for 4 people are calculated automatically when bookingnna surcharge may be charged if the general condition rendered is indecent other things to note other things to notenthe owners reserve the right to cancel your stay at the hut if the weather conditions are very bad whether they are known a few days before or even on the day of arrival whether you are already on the road or already arrived on site or during your stay weather alert severe weather events strong wind storm thunderstorm if this happens well try to relocate you to other types of accommodation nearby subject to availability and at no extra charge if we do not have a relocation solution available and in this case only you will be offered a date extension at the choice of the owners or you will receive a 50 discount on a next equivalent stay in a cabin in the current 12 months in any case no compensation or reimbursement can be claimed,"['What this place offers', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Entertainment', 'TV', 'Family', 'Travel cot', 'Children’s books and toys', 'High chair', 'Fireplace guards', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Pocket wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Coffee maker', 'Baking sheet', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Breakfast', 'Breakfast is provided', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.']",Le Plessis-Feu-Aussoux Île-de-France France,4,3.0,1.0,143,5.0,4.9,5.0,4.7,5.0,4.7,32.0,https://www.airbnb.co.uk/rooms/935398?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-27&check_out=2022-04-03&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2
9033002f-5ff2-45df-af91-ef1594ac353f,Treehouses,luxourious Treehouse/lodge,our tree house lodge is an ideal base for visits to the efteling beekse bergen tilburg breda and much more nthe lodge is equipped with a rain shower separate toilet kitchenette fridge dining area and sitting area and 3 beds on the loft next to it is the corresponding tree house with 3 beds the space the spacenin the tree house you imagine yourself in the top of the trees in the wonderful naturenthe beds have 7zone pocket spring mattresses a down duvet and wonderful pillows guest access guest accessnyou are the only guests in the treehouse other things to note other things to notenwe dont allow pets smoking and partys swimming pool available 15may15 september,"['What this place offers', 'Bathroom', 'Cleaning products', 'Hot water', 'Bedroom and laundry', 'Dryer', 'Bed linen', 'Clothes storage', 'Entertainment', '32"" HDTV with standard cable/satellite', 'Ping pong table', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Launderette nearby', 'Outdoor', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Bikes', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Cleaning before checkout', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Rijen Noord-Brabant Netherlands,6,5.0,1.0,94,4.2,4.4,4.6,4.3,4.8,4.3,31.0,https://www.airbnb.co.uk/rooms/38786954?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2
59705407-dc9b-444f-b0b0-afc472ca7c7f,Treehouses,rooftop cabin with private hot tub,the domaine proposes to make you live a unique experience in a beautiful place where a perched hut is set up to guarantee absolute privacy to really feel out of time to recharge your batteries cut off from civilizationna private outdoor uncovered jacuzzi awaits you the space the spacenluxury and nature the hut perched 100 comfort heating toilet showernan outdoor jacuzzi not covered for 3 peoplena monkey bridge easy to reach by stairs is open to all without age limit and will please childrennperched 5 meters high close to the pond which guarantees a unique charmnwith a view of the pondnbreakfast not included but you can bring yours nespresso available in the cabinnoffice available microwave fridge and dishes on request guest access guest accessnentire accommodationnbarbecue in the park on request other things to note other things to notenthe site lends itself to weddings if necessary the cottage will not be available,"['What this place offers', 'Scenic views', 'Lake view', 'Park view', 'Bathroom', 'Hair dryer', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Baby safety gates', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Kitchen and dining', 'Coffee maker: espresso machine', 'Location features', 'Waterfront', 'Right next to a body of water', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor kitchen', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Private hot tub', 'Services', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Maisse Île-de-France France,4,3.0,1.0,247,4.9,4.8,4.8,4.6,4.9,4.4,24.0,https://www.airbnb.co.uk/rooms/27255597?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
36dc1670-02ae-483b-9384-9261cc0f5abe,Treehouses,CABANE DES GIROLLES - IN THE TREES,above all this is a breathtaking setting that we invite you to discover during your stay at les hbergements de qunecan we invite you to escape to this natural and unique horizon in the heart of naturennin the heart of the immense forest of quncan near the water points or overlooking the former iron and steel village of les forges enjoy the peace and quiet to take a moment to recharge your batteries away from everyday life the space the spacenlocated at a height of 10 meters in an oak of nearly 200 years the cabane des girolles takes its name from the good girolles harvests that are made regularly for the happiness of allnnit is equipped withnna bed in 90na bed in 140 abovena toilet corner with water reserve dry toilet wipesna spacious sunny terrace overlooking the listed village of les forges des salles ideal terrace for breakfast or summer eveningsnextra heating when the need arisesnyou can have sanitary showers toilets arranged for you at the reception to enjoy several days of our sitenit is ideal for a couple and a childnnit is accessed by a long fully secured footbridge that will delight young and old alikenn we remind you that each of our accommodations has a small toilet area as well as a dry toilet and a sun terrace breakfast is included the evening meal can be delivered by reservation,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,3,2.0,1.0,104,4.5,4.7,4.8,4.8,4.8,4.4,10.0,https://www.airbnb.co.uk/rooms/23274113?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-24&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
1e304e46-bf16-4ad4-9a94-844346a8c61e,Treehouses,RENARDIÈRE HUT - IN THE TREES,it is above all a breathtaking setting that we offer you to discover during your stay at accommodations in quncan we invite you to escape to this natural and unique landscape surrounded by naturennin the heart of the immense forest of quncan near the water points or overlooking the old steel village of les forges take advantage of the peace and quiet to take a moment to recharge your batteries away from everyday life the space the spacenin the forest on the edge of the private furnace pond 12 hectares the renardire cabin is built at a height of 5 meters while douglasfir and larch naturally impenetrable wood this cabin for 6 people is ideal for an exceptional moment with friends or family located in an oak tree and supported by 5 pillars this large very spacious and clear cabin will seduce you with its originalitya spiral staircase will take you to the southwesterly facing terrace overlooking the furnace pondthe occupants of the cabin will be able to settle in for dinner at sunset the cabin is composed of a living room with coffee table and benches a bed in 140 retractable 2 beds in 90 including a 90140 a mezzanine with a bed in 160 a small toilet with dry toilets this hut will please aspiring pirates indeed our builders have planned a drawbridge to maneuver to drop the moorings and start the adventure guest access guest accessnaccess indicated during booking private parking at the foot of the cabin other things to note other things to notenon the estate enjoy the steel village of les forges des salles free visit this former wellpreserved steel industrial site brings you back to the daily life of a 19th century blacksmithnaround lake guerldan the abbey of bon repos the museum of electricity the valley of saints are all sites that open their doors to you,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,5,4.0,1.0,106,4.3,4.5,4.4,4.8,4.5,4.1,10.0,https://www.airbnb.co.uk/rooms/9624155?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-12&check_out=2022-06-19&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
02395b8b-2732-43a0-b895-8e5b10da1307,Treehouses,La Cabane Les Faines,the les faines cabin perched in a 150yearold beech tree will make you live an unusual nature experience in normandy yearroundnwe are located 12 km from dieppe seinemaritime 2 h from paris and 3 h from brussels the space the spacennestled in a 150yearold beech tree 8 m high this hut is oriented northwest sunset ensured on the terrace 10 m between the branches overlooking the horse meadow and you can watch for the passage of animals among others deer who like to sleep nearbynthis hut 10 m built with total respect for the tree and its environment accommodates 2 people adult or 12 years minimum accompanied by an adultnnaccess is via a beautiful spiral staircase then via a 15 m long walkwaynnit is undoubtedly the easiest access deckhouse combining height and easennthis hut also gives you exclusive access to another large terrace common to the 3 bridge huts perched 20 m from a 190yearold beech tree it is the tallest terrace in france accessible by a magnificent crinoline ladder fully secured change of scenery and relaxation guaranteed nnwithout running water or electricity but rustic comfort for a unique adventure in the wild water supply 4 l dry toilet and heating bathroom at the reception other things to note,"['What this place offers', 'Bathroom', 'Hair dryer', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Host greets you', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",La Chaussée Normandie France,2,1.0,1.0,126,5.0,5.0,4.8,5.0,5.0,4.8,8.0,https://www.airbnb.co.uk/rooms/28720248?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-04&check_out=2022-04-11&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1
